likes,pred_likes
28360,27281
140,8193
6231,12318
89302,98026
632,515
17001,15783
36582,35038
6038,21316
8650,9777
555555,549530
338,519
111392,95756
95558,67584
1233,1741
13722,12798
500,768
69503,69066
15348,13179
26861,25061
45068,42104
6529,7424
9052,8942
15955,16174
26036,28788
0,3215
11310,13185
49928,38861
4436,198806
39200,49692
5874,39264
16263,21810
122531,113442
33812,198806
320679,273092
1035003,173825
778,2135
1629,10401
22136,18722
7994,6923
3110,10281
67288,74691
3269,6449
2050,1872
148734,143308
1472,12301
1939,2528
29225,25217
174637,165533
7399,33347
16470,18064
29873,93199
11555,12290
42577,44906
44085,48035
36636,31955
3563,3849
46508,37646
13,564
5991,2703
177700,146823
12681,11620
3536,3942
15051,14485
1669,113883
411,454
65991,58530
2016,2571
20658,19439
832,4662
38326,16201
32181,16416
24794,23000
11817,23503
14532,15251
25811,14750
36904,39264
3,4343
106105,101356
39699,37133
44619,78498
193377,160008
77373,131007
29712,38435
360340,404445
78351,88203
11839,14388
62969,70749
9015,39264
271964,394572
9228,12114
27379,39942
16481,15511
21876,17232
34793,77897
2182,3654
8015,10385
33468,36572
106755,126065
1966,2118
32935,63377
43567,50023
54920,68527
9004,12275
11348,14797
70432,39264
3217,5519
29424,34744
11259,15021
7047,39264
1603,2662
7408,10308
14000,16513
11709,16276
12055,11596
12249,13812
1302,2282
9814,10301
8839,18737
854,4466
42232,82795
1976,3717
9624,9196
7551,9608
40912,56122
10175,19654
1152,1896
24848,26292
49163,47307
8905,49476
8625,10603
33091,34376
209,401
122170,133000
1557,2488
1603,6567
38843,44091
4398,31153
3617,11309
29140,51564
6674,8138
163039,160785
1728,1902
22990,23107
28206,32142
3275,4812
6562,7028
10487,7427
0,44639
2972,93461
4131,4589
42018,39942
2930,3549
19249,22362
7869,46036
21804,19102
7616,8028
8400,11030
15124,27656
9105,9337
1146,1027
26363,27165
33235,32565
190,182
21749,20540
7227,9051
16471,15251
35707,35870
8936,8771
3962,3971
905,4728
2968,3448
15073,15743
9837,9120
1022,1126
20927,19823
20997,20813
8207,7993
395711,348534
28693,30329
16785,16384
241,268
1374,1408
6069,51783
961,1095
8203,9667
4429,4409
26021,25234
2225,6843
24510,24911
2063,2562
57173,40885
106008,111186
0,0
344502,336129
114202,111577
8,2687
54,104
1432,12109
16577,15093
195,29225
2953,2730
25590,27905
1286,1249
563,2687
11180,10878
86499,82168
12149,12436
8953,9500
2055,2148
27,39264
683954,445279
258,599
177,163
4040,4305
34686,198806
5,1649
399,466
6946,7446
11032,10540
21205,20415
17097,17146
261,367
57,4574
1217,4353
93920,93083
204,4240
16673,15469
151,1975
38272,34629
248,3008
184880,159985
16273,15786
7038,10750
2610,44639
3590,3622
28893,27281
143,8193
154170,135299
55,51716
9790,5174
203961,46036
50672,50122
6295,12318
95080,98026
17822,15783
9087,9777
6108,21316
36844,35038
100576,67584
343,519
575900,549530
645,515
13957,12798
75745,69066
15617,13179
27738,25061
11786,13185
9164,8942
45596,42104
1271,1741
571,768
54560,38861
27621,28788
38,21967
4598,198806
6725,7424
328876,273092
16959,21810
34338,198806
5960,39264
8114,6923
123785,113442
167704,143308
116997,131007
20974,28890
9567,12702
41770,38435
2565,26714
87125,124314
21479,31309
388862,404445
16422,24977
85196,88203
17862,39264
13084,12114
3251,4466
3110,3654
35257,39942
57834,77897
327501,394572
17640,15511
2176,2662
3353,3717
117804,126065
35124,36572
61459,68527
4459,5519
36243,63377
2218,2118
47240,50023
14144,15021
14287,14797
11143,12275
1677,1896
8837,10308
11120,18737
6093,31153
8646,9608
73896,39264
32631,34744
14478,11596
8540,4019
1519,2282
18601,18254
8543,39264
45634,82795
16323,16513
13285,13812
12015,19654
54674,56122
10239,10301
1401,3849
10397,9196
5828,11309
7313,8138
1747,2488
10587,7427
9627,10603
26033,26292
9308,49476
51315,47307
1822,1902
35347,34376
132100,133000
3803,4812
40240,51564
41968,44091
3342,93461
172520,160785
29789,32142
4731,4589
6971,7028
23918,23107
373,401
43573,39942
20571,22362
9593,11030
8272,9051
8863,46036
22530,19102
3036,3549
15630,27656
0,44639
1735,6567
17143,15251
8019,8028
27235,27165
9294,9337
34721,32565
22195,20540
4154,3971
1222,1027
256,268
36411,35870
9190,8771
15686,15743
42,55638
6504,51783
3236,3448
10006,9120
21592,19823
966,4728
24859,24911
8544,7993
1062,1126
21524,20813
30270,30329
17072,16384
192,182
1391,1408
410051,348534
4499,4409
197,29225
58567,40885
8395,9667
1037,1095
109074,111186
26338,25234
116212,111577
0,0
47,9037
11,2687
350739,336129
2270,6843
2095,2562
17550,15093
55,104
27,39264
3074,2730
12662,12436
1529,12109
11319,10878
25959,27905
576,2687
88497,82168
1327,1249
2108,2148
9581,9500
35324,198806
369,2309
6,1649
718368,445279
16,135376
179,163
6,5133
410,466
4201,4305
7164,7446
337,2689
17333,17146
262,367
21692,20415
60,4574
1229,4353
94952,93083
8268,10750
207,4240
16706,15786
16937,15469
196595,159985
153,1975
39140,34629
11150,10540
22,5135
3642,3622
157088,135299
150,8193
10211,5174
2616,44639
104641,67584
2079,3681
255,3008
51180,50122
205630,46036
37009,35038
99376,98026
18613,15783
29096,27281
9526,9777
6154,21316
46101,42104
15882,13179
6356,12318
351,519
591776,549530
28690,25061
653,515
80468,69066
17620,21810
4702,198806
6975,7424
14131,12798
6037,39264
647,768
28387,28788
124607,113442
6030,144371
2055137,2465226
45197,72979
45197,45252
2565,3831
3635,17833
129026,131007
27060,28890
107086,141760
11760,12702
41148,74075
46913,38435
103078,124314
24860,31309
457,5666
18088,24977
5791,4466
405859,404445
22438,39264
15259,12114
88477,88203
2401,3016
4106,3717
4407,6766
36801,39942
3435,3654
73115,77897
375535,394572
2614,2662
10207,10385
127779,126065
2162,1896
65820,68527
5563,5519
36043,36572
15353,15021
14929,14797
38625,63377
49608,50023
12648,12275
2360,2118
9956,10308
11892,18737
9422,9608
18934,18254
75505,39264
34086,34744
1535,3849
48290,82795
977,10426
8913,39264
1669,2282
13370,19654
58918,56122
38022,34376
17533,16513
10652,7427
13918,13812
6912,11309
10553,10301
7896,8138
10936,9196
10063,10603
1842,2488
26925,26292
4955,4589
9597,49476
52271,47307
141487,133000
4342,4812
53527,51564
43897,44091
183458,160785
3648,93461
7268,7028
30657,32142
24430,23107
3158,3549
46412,39942
17582,15251
10925,11030
21492,22362
1872,1902
8972,9051
8284,8028
9240,46036
1805,6567
0,44639
16094,27656
430,401
1269,2098
27815,27165
23136,19102
36053,32565
6992,8412
22491,20540
49,223
9479,9337
1287,1027
271,268
9360,8771
36794,35870
4364,3971
6831,51783
16047,15743
45,55638
3444,3448
469,190972
828,1023
21883,19823
1112,4728
10136,9120
31134,30329
22058,20813
8835,7993
1092,1126
17298,16384
195,182
8526,9667
1055,1095
1407,1408
1934,80260
10,2687
200,29225
421289,348534
25263,24911
47,9037
4557,4409
59947,40885
113404,111186
0,0
117510,111577
26852,25234
358831,336129
1573,1745
2119,2562
56,104
18376,15093
27,39264
1591,12109
586,2687
13131,12436
26272,27905
90612,82168
35861,198806
11481,10878
5969,8301
1368,1249
2137,2148
371,2309
6,1649
748479,445279
10154,9500
16,135376
179,163
6,5133
7332,7446
343,2689
8917,10750
4310,4305
17209,15469
22095,20415
206122,159985
60,4574
17601,17146
40960,34629
95807,93083
17049,15786
159586,135299
210,4240
262,367
1236,4353
156,1975
11246,10540
51831,50122
10554,5174
19731,15783
26,5135
3674,3622
152,8193
2616,44639
2106,3681
263,3008
103999,98026
85515,69066
10200,9777
29282,27281
6200,21316
16135,13179
6433,12318
14359,12798
789,768
13276,12255
67414,102269
61880,83372
12277,144371
8093,12452
9857,17694
17594,27311
4579,41976
2320638,2465226
247954,272512
18377,21093
2713,3170
61246,72979
2988,5666
3797,5202
5232,17833
3433,3831
17722,57279
1042,2041
2200,6144
2142,3765
30503,28890
134882,131007
126167,141760
57995,74075
12470,12702
50495,38435
118601,124314
26979,31309
18996,24977
7620,4466
6213,6766
2815,3016
419216,404445
25275,39264
16328,12114
90472,88203
122,7248
4407,3717
37779,39942
3634,3654
85734,77897
2925,2662
414637,394572
15283,14797
10629,10385
135356,126065
21191,23876
69124,68527
6204,5519
16170,15021
36748,36572
12327,18737
1622,3849
2441,2118
51600,50023
28956,56924
40364,63377
10438,10308
9945,9608
7613,11309
50216,82795
35399,34744
76981,39264
9126,39264
1762,2282
14487,19654
62866,56122
39665,34376
18310,16513
14344,13812
1242,10426
10801,10301
8369,8138
10351,10603
1929,2488
27496,26292
147018,133000
9878,49476
10700,7427
52996,47307
11294,9196
4755,4812
58897,51564
3920,93461
45182,44091
31390,32142
191695,160785
17909,15251
7596,7028
24789,23107
9603,9051
11743,11030
22211,22362
481,401
