views,pred_views
852717,1348325
212414,449102
183935,290975
680569,3787243
570641,840140
114917,233178
160530,374253
290800,451032
850117,1271035
1002131,663486
240166,1127900
59462,406210
734594,1608631
1819783,2280512
1716171,2278282
1053325,977238
308230,781513
355773,499704
1627849,1524496
522256,551086
76859,174716
907902,1150838
204520,444029
270142,397962
522265,464141
496742,1511228
679202,2421749
1742272,1917858
210815,168318
508727,635463
48804,80243
784926,848824
130189,167814
534109,520347
54392,468572
191326,179470
463642,517168
38219,139459
34719,126714
84428,92963
183369,283074
1243269,1200215
47263,109595
92364,126791
17613871,19690380
7576,43718
576454,594086
682599,760600
721451,752562
159746,176997
362659,441534
56402,74367
243500,267366
114518,421929
3346,12505
193082,270092
173531,259505
129118,136870
1902537,1869003
115921,149188
2682780,3010264
1994585,2344713
34207,36428
5979360,5841081
122161,747027
2112730,2135482
78582,275193
594881,669740
21565,1803601
36578,36879
1902516,1916732
48331,51972
3892,48801
7432,1350849
93088,464089
134077,177373
27225,30995
2375214,2390689
241456,250375
1123700,1204790
108845,213818
91100,113454
209470,279306
178748,207959
9044077,7961172
23771,21665
150539,164746
137551,156365
576496,395713
33888,508156
485883,950169
651621,655617
249348,246395
330601,310039
24785,41891
81260,181363
2112938,2125762
3138088,2995797
550005,544497
2351925,2084866
4106304,4531670
508958,507103
296404,1410315
83588,90551
465986,264050
42737,129241
2016029,983517
15104666,8708364
10353797,2421749
723678,736929
335646,319091
4452,66230
356859,873427
820427,989183
137792,102718
1932429,1952074
2102153,1957800
113999,949202
403292,323245
10530920,10808459
127812,135894
2275359,1632636
3244243,2193249
93741,62822
355437,310137
95679,106019
1220147,1265007
4384273,3889299
1064495,964347
1165497,1068029
77856,136761
816740,810593
176140,246370
471521,802194
2447,156998
216658,250883
1134684,839696
160971,8195374
1046154,1053695
683364,1350849
396378,533295
1968605,1726808
592238,8195374
11907002,9312656
7475081,4634551
67078,148179
69795,400632
514888,359376
680306,447094
451381,663486
913756,1008979
68625,156700
402199,354830
3483577,2891465
22607,127469
128002,132318
681439,469833
1024814,997882
156243,2899821
360539,270803
612279,1945746
373105,1160056
702208,648399
795683,705935
909177,716315
443412,546482
1249486,885130
5464,25765
56969,34877
3821846,2451095
129071,257375
76536,98061
474858,437290
23987,5163081
29188,31245
2433987,2023439
35511,86872
930403,806917
14265,158433
828587,719309
968868,481950
676692,593482
2227708,1642696
539987,274019
1365087,790051
736276,1350849
2885,267832
3794124,3461127
1607810,1461221
852543,2362140
3083469,2330775
1980168,4758884
1013330,1540813
8951919,10779153
1501756,1811459
589827,668301
684778,955377
349459,1350849
6119211,13784027
259918,477059
619503,1150838
1382432,1379943
1134859,1167228
630362,1672305
104510,324454
151739,248752
1163659,1348325
1709054,2627442
402878,449102
1273343,3096191
1586719,2307810
605722,1240449
245610,406210
309852,498118
2437554,1350849
89763,211386
295351,382784
143128,211050
338500,1350849
33892,127703
594981,994617
303343,374253
707164,983904
348854,350084
196552,233178
81878,167711
269447,290975
93664,342568
42513,221144
780009,2005237
42910,152713
833312,840140
153898,268789
431883,751329
199355,408818
41474,93870
399511,451032
1317168,1271035
329176,1127900
98851,143469
710660,781513
14071,54948
1032352,1511228
131771,168318
19261,126785
571588,675470
1042458,1265527
87397,242264
545535,1140085
1624478,2092369
2132690,2278282
68936,99142
496264,499704
401701,444029
97414,217535
126015,174716
1154618,977238
160012,1410315
58677,1499816
99456,126714
1130630,1150838
153513,167814
452087,583774
973134,2421749
1803225,1524496
73815,80243
60404,139459
571905,551086
1857727,1917858
66181,63186
612044,635463
866967,848824
58168,55089
583305,520347
112466,183372
118094,274019
747879,752562
521200,517168
122831,126791
62982,109595
230292,270092
361370,397962
1314979,1200215
63733,74367
792283,760600
178462,176997
277186,267366
19999878,19690380
402651,441534
609752,594086
18438,23283
37844,39363
227316,1158042
37705,57354
128996,149188
137347,136870
1984712,1869003
139847,747027
638581,669740
160591,172806
2857743,3010264
2142476,2344713
36137,36428
6176066,5841081
2167780,2135482
1095,275193
5208,12505
112694,464089
2132668,1916732
27302,1803601
53042,51972
2464654,2390689
38712,36879
81305,275193
249099,250375
1206659,1204790
253356,279306
196081,207959
29607,30995
8284,1350849
11342795,7961172
82123,153121
24158,21665
145499,156365
342587,8195374
1480,79985
15203,15705
159957,164746
341472,310039
694533,655617
257195,246395
24996,41891
8448,32168
81909,181363
2187692,2125762
36717,508156
3241257,2995797
3391,145214
592731,544497
54522,129241
5191299,4531670
525796,507103
785288,950169
297714,1410315
85898,90551
345600,319091
4736,66230
2575435,2084866
2367,1537898
515929,264050
10595011,2421749
751890,736929
362572,873427
932966,989183
2200529,1952074
434799,323245
118159,949202
2141930,1957800
3586390,2193249
141897,135894
11825470,10808459
141782,102718
363154,310137
1456715,1265007
4428937,3889299
1105611,964347
239773,250883
836305,810593
1185542,1068029
97795,62822
113980,106019
1360509,839696
516353,802194
5584,1500535
173742,8195374
83207,136761
12382809,9312656
436629,533295
617406,8195374
702556,1350849
700476,447094
2005522,1726808
4600718,2891465
3765990,4758884
350853,802414
296440,564642
1750448,1540813
184579,749165
1481114,3395413
687321,1917979
10311506,10779153
588908,1160184
1713057,1811459
636464,1350849
521956,477059
133924,221144
235270,324454
950854,1150838
1165229,1672305
8464537,13784027
1558898,1379943
77288,127703
122586,152713
2126764,2627442
1257735,1348325
816847,1240449
151567,211386
1556203,3096191
454203,449102
1861361,2307810
197420,211050
456992,498118
350159,406210
81706,93870
752064,994617
145093,342568
1484851,1265527
208376,268789
2717114,1350849
346530,382784
461918,350084
434617,240063
100921,167711
1017736,1012110
476412,1350849
966474,2005237
376081,374253
218417,233178
276578,408818
694652,751329
289999,290975
179997,546482
945493,840140
152289,242264
1807642,2092369
156600,168318
1190081,977238
117455,143469
430719,451032
351726,1127900
1409442,1271035
76830,99142
801356,781513
1281845,1511228
141179,217535
822215,1140085
637028,675470
73194,1499816
2380130,2278282
446986,444029
125762,126714
142155,174716
525658,499704
49280,54948
1214739,1150838
506084,583774
72493,139459
149328,183372
1112801,2421749
1921050,1524496
164325,167814
595693,551086
179448,1410315
21636,126785
139228,274019
80252,80243
687107,635463
1902473,1917858
938195,848824
604117,520347
138587,126791
72271,63186
20796,23283
767834,752562
558010,517168
386371,397962
2078,2150952
269908,1158042
242805,270092
1368380,1200215
852594,760600
75396,109595
666530,669740
295200,267366
70803,74367
186020,176997
440657,441534
625761,594086
60216,55089
38653,39363
22118673,19690380
143780,136870
28763,1803601
2986642,3010264
132403,149188
42024,57354
2242220,2344713
2021002,1869003
2271673,2135482
36579,36428
17164,336165
1638,275193
6371227,5841081
146487,747027
167756,172806
2283526,1916732
5708,12505
8523,1350849
56071,51972
286290,279306
123513,464089
254432,250375
2532525,2390689
85102,275193
1268825,1204790
40354,36879
31636,30995
210712,207959
367227,8195374
137410,177373
1543,79985
13664373,7961172
5997,2929767
24462,21665
4387,85864
15787,15705
154520,156365
166842,164746
12787,54998
262545,246395
25095,41891
729853,655617
8616,32168
82538,181363
2240071,2125762
911626,950169
38945,508156
543574,507103
3318492,2995797
6231832,4531670
3503,145214
626564,544497
347721,310039
4143,44961
88021,90551
2761806,2084866
4995,66230
558102,264050
298442,1410315
3930664,2193249
49914,146550
57285,129241
768097,736929
10775416,2421749
2175978,1957800
1031803,989183
2374145,1952074
350586,319091
466774,323245
120919,949202
1202878,1068029
4465685,3889299
367973,873427
149005,135894
12969561,10808459
1145464,964347
145442,102718
